GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,18446766
1994,,,,,,,,,,,,,,,,,,,,,504201857
,,489,,,,,,,,,,,,,,,,,,,528880224
RUIZ CORTINEZ,166,484853,2136072,365,09,003,Coyoac?ín,09003,113357,115171,99187,327715,95237,116899,106272,99187,322358,93681,113357,109814,1712236
SAN FRANCISCO CULHUACAN ,167,487793,2137344,382,09,003,Coyoac?ín,09003,113357,112493,99187,325037,94459,116899,106272,99187,322358,93681,113357,109814,1706102
SAN NICOLAS TOLENTINO,168,485838,2133075,418,09,012,Tlalpan,09012,157594,171418,137894,466906,135687,162518,147744,137894,448157,130239,157594,152669,2406313
SANTA URSULA,169,483587,2135232,448,09,003,Coyoac?ín,09003,301363,297302,261274,859939,249907,305078,277344,261274,843696,245186,298598,56246,4257208
SANTA URSULA COAPA,170,483956,2134956,449,09,003,Coyoac?ín,09003,58061,56246,48384,162691,47280,57024,51840,48384,157248,45698,55296,56246,844399
TERRANOVA,171,480277,2137821,495,09,003,Coyoac?ín,09003,127181,141955,116122,385258,111960,136858,116640,108864,362362,105306,129946,125885,1968335
UNIVERSIDAD SANTA CATARINA ,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35942,40176,31450,107568,31260,37066,33696,31450,102211,29704,35942,34819,551284
VILLA OLIMPICA #1,173,480489,2134541,563,09,003,Coyoac?ín,09003,107827,115171,94349,317347,92224,111197,101088,94349,306634,89111,107827,104458,1641581
VIVEROS DEL RELOJ #1,174,485383,2135593,568,09,003,Coyoac?ín,09003,154829,152669,133056,440554,128029,159667,142560,135475,437702,127201,152064,147312,2311118
VIVEROS DEL RELOJ #2,175,485353,2136042,569,09,003,Coyoac?ín,09003,107827,115171,94349,317347,92224,111197,101088,94349,306634,89111,107827,104458,1641581
ZAPATA #17 ,176,482186,2134254,576,09,012,Tlalpan,09012,41472,45533,36288,123293,35830,42768,38880,36288,117936,34273,41472,40176,634209
ZAPOTECAS,177,483267,2136640,577,09,003,Coyoac?ín,09003,19354,8035,7258,34646,10069,8554,7776,7258,23587,6855,5530,5357,144278
TULYEHUALCO SUR #1 ,178,489324,2133515,512,09,012,Tlalpan,09012,RE,135960,170889,306850,89174,169509,149121,146642,465272,135213,169689,195802,2134121
TULYEHUALCO SUR #2 ,179,488938,2133322,517,09,012,Tlalpan,09012,129101,91261,14073,234435,68129,RH,RH,RH,0,0,RH,RH,537000
TULYEHUALCO SUR #3 ,180,488153,2133115,519,09,012,Tlalpan,09012,78383,59599,56293,194275,56458,41879,RH,RH,41879,12170,RH,55226,596161
TULYEHUALCO SUR #4 ,181,487881,2132804,525,09,013,Xochimilco,09013,126796,113611,110576,350982,101999,109682,110711,108871,329264,95687,115301,133045,1806524
TULYEHUALCO SUR #5 ,182,487503,2132636,526,09,013,Xochimilco,09013,149850,122923,128670,401442,116663,129624,133305,131089,394019,114506,132705,153127,2107923
TULYEHUALCO SUR #6 ,183,487208,2132493,527,09,013,Xochimilco,09013,64551,117335,126659,308545,89666,125636,142343,155530,423508,123076,160987,165678,2003514
TULYEHUALCO SUR #7 ,184,486933,2132236,528,09,013,Xochimilco,09013,195957,160172,168879,525008,152573,165520,183012,179970,528502,153588,178391,208353,2799927
TULYEHUALCO SUR #8 ,185,486105,2132113,529,09,013,Xochimilco,09013,73772,67049,64335,205156,59620,63815,72301,71099,207215,60219,63089,72798,1080469
TULYEHUALCO SUR #9 ,186,485351,2132095,530,09,012,Tlalpan,09012,62245,55874,54283,172402,50102,53844,92636,91096,237576,69042,93546,107942,1140587
TULYEHUALCO SUR #10 ,187,486333,2132216,513,09,013,Xochimilco,09013,101437,91261,88460,281158,81707,87746,45188,44437,177371,51546,47861,55226,1153398
TULYEHUALCO SUR #11 ,188,484473,2132617,514,09,012,Tlalpan,09012,99131,89398,82429,270959,78743,93728,101674,99983,295385,85842,97897,112963,1508133
TULYEHUALCO SUR #12 ,189,484107,2133070,515,09,012,Tlalpan,09012,89910,83811,80419,254139,73855,79769,94895,93318,267982,77878,89195,102921,1388092
TULYEHUALCO SUR #13 ,190,486343,2136109,516,09,003,Coyoac?ín,09003,20748,9312,RE,30061,8736,RH,RH,RH,0,0,RH,RH,68857
TULYEHUALCO SUR #23 ,191,489609,2135481,518,09,013,Xochimilco,09013,122185,108023,104544,334752,97282,103699,124268,122202,350169,101763,93546,97901,1760334
TULYEHUALCO SUR #33 ,192,489692,2133900,520,09,013,Xochimilco,09013,69161,59599,58303,187064,54363,57832,58745,57768,174345,50666,65265,75308,968420
TULYEHUALCO SUR #34 ,193,489568,2136213,521,09,013,Xochimilco,09013,96826,87536,84440,268801,78116,83757,85858,84430,254045,73828,82669,95391,1375697
TULYEHUALCO SUR #35 ,194,489834,2135709,522,09,013,Xochimilco,09013,73772,67049,64335,205156,59620,63815,72301,71099,207215,60219,71791,82839,1099212
TULYEHUALCO SUR #36 ,195,484773,2132258,523,09,012,Tlalpan,09012,140628,121060,126659,388348,112858,127630,140083,135533,403246,117187,132705,153127,2099066
TULYEHUALCO SUR #38 ,196,489569,2136221,524,09,013,Xochimilco,09013,32275,35387,34178,101840,29596,33902,20335,19997,74233,21573,21755,25103,450173
XOCHIMILCO #28 ,197,484437,2133089,570,09,012,Tlalpan,09012,85373,77160,54577,217110,63094,55017,59627,59876,174520,50717,60673,64203,1021946
XOCHIMILCO #29 ,198,484599,2133433,571,09,012,Tlalpan,09012,63239,59156,39521,161916,47054,39840,44720,44907,129467,37624,45505,48153,761102
XOCHIMILCO #30 ,199,484641,2133825,572,09,012,Tlalpan,09012,158098,144032,95980,398110,115695,96755,114994,115475,327224,95094,106178,112356,1879989
ZAPATA #14 ,200,488083,2134134,573,09,003,Coyoac?ín,09003,132802,120884,79042,332728,96694,79680,89440,89814,258934,75249,91009,96305,1542582
ZAPATA #15 ,201,483077,2134102,574,09,012,Tlalpan,09012,37944,36008,22584,96535,28054,22766,25554,19246,67566,19635,26003,27516,429409
ZAPATA #16 ,202,489444,2134015,575,09,013,Xochimilco,09013,3162,2572,1882,7616,2213,1897,2130,2138,6165,1792,RE,RE,31567
ARENAL,203,485285,2131689,37,09,013,Xochimilco,09013,135475,133920,120960,390355,113441,136858,116640,106445,359942,104603,121651,117850,1958140
ARTESANIAS O VILLA OLIMPICA,204,480679,2133319,40,09,012,Tlalpan,09012,RH,RH,RH,0,0,RH,RH,RH,0,0,RH,RH,0
BATAM ,205,477520,2137686,85,09,008,La Magdalena Contreras,09008,8294,16070,4838,29203,8487,5702,5184,4838,15725,4570,5530,5357,113799
BELISARIO DOMINGUEZ,206,481265,2133300,86,09,012,Tlalpan,09012,RH,RH,RH,0,0,0,0,0,0,0,30413,53568,83981
NORMANDIA,207,485856,2141928,247,09,007,Iztapalapa,09007,RH,RH,RH,0,0,RH,RH,RH,0,0,RH,RH,0
BOSQUE TLALPAN #2,208,479648,2133076,89,09,012,Tlalpan,09012,22118,24106,12096,58320,16948,14256,15552,14515,44323,12881,11059,10714,256888
CANAL #13,209,478437,2134424,95,09,012,Tlalpan,09012,91238,96422,74995,262656,76330,96941,77760,89510,264211,76782,99533,96422,1402802
CLUB DE GOLF #1,210,483400,2131600,122,09,012,Tlalpan,09012,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
CLUB DE GOLF #2 ,211,483400,2131600,123,09,012,Tlalpan,09012,PA,PA,PA,0,0,PA,PA,PA,0,0,PA,PA,0
CLUB DE GOLF #3 ,212,483400,2131600,124,09,012,Tlalpan,09012,PA,PA,PA,0,0,PA,PA,PA,0,0,2765,FE,2765
CLUB DE GOLF #4 ,213,483400,2131600,125,09,012,Tlalpan,09012,27648,26784,16934,71366,20740,19958,18144,16934,55037,15994,13824,18749,322113
DALIAS,214,481889,2141303,132,09,014,Benito Ju?írez,09014,38707,42854,50803,132365,38467,31363,33696,29030,94090,27343,19354,21427,559500
DEPORTIVO VIVANCO ,215,483427,2139343,137,09,003,Coyoac?ín,09003,55296,48211,55642,159149,46250,62726,57024,53222,172973,50268,58061,32141,850963
DEPORTIVO XOCHITL ,216,481054,2132826,138,09,012,Tlalpan,09012,55296,58925,50803,165024,47958,62726,54432,53222,170381,49514,60826,58925,888032
EL CAMINERO ,217,481103,2138473,150,09,003,Coyoac?ín,09003,88474,107136,79834,275443,80047,108346,80352,65318,254016,73820,82944,101779,1397509
EL TREBOL,218,482401,2131586,151,09,012,Tlalpan,09012,107827,117850,104026,329702,95815,102643,111456,101606,315706,91747,118886,117850,1715114
EL ZAPOTE,219,481267,2133874,152,09,012,Tlalpan,09012,16589,26784,9677,53050,15417,11405,10368,9677,31450,9140,52531,128563,374650
FOVISSSTE,220,480685,2132104,156,09,012,Tlalpan,09012,47002,58925,43546,149472,43438,48470,44064,45965,138499,40249,52531,40176,752337
FUENTES BROTANTES #1,221,481550,2132467,159,09,012,Tlalpan,09012,16589,16070,9677,42336,12303,11405,10368,9677,31450,9140,11059,10714,190787
FUENTES BROTANTES #2,222,481296,2132279,160,09,012,Tlalpan,09012,33178,32141,19354,84672,24607,22810,20736,19354,62899,18279,22118,21427,381574
FUENTES DEL PEDREGAL ,223,476178,2134095,161,09,012,Tlalpan,09012,PA,PA,PA,0,0,PA,PA,PA,0,0,PA,PA,0
GALEANA TLALPAN,224,482632,2132332,162,09,012,Tlalpan,09012,8294,10714,4838,23846,6930,5702,5184,4838,15725,4570,5530,5357,101529
HIDALGO TLALPAN,225,480912,2132969,172,09,012,Tlalpan,09012,88474,96422,89510,274406,79745,102643,93312,84672,280627,81553,91238,42854,1405458
ISSFAM,226,483120,2131330,178,09,012,Tlalpan,09012,77414,104458,96768,278640,80976,116899,93312,87091,297302,86399,91238,91066,1501564
JARDIN DE LA MONTANA #1,227,479273,2133860,191,09,012,Tlalpan,09012,RE,2678,RE,2678,778,RE,RE,RE,0,0,RE,RE,6135
JARDIN DE LA MONTANA #2,228,478378,2133978,192,09,012,Tlalpan,09012,30413,34819,19354,84586,24581,22810,20736,19354,62899,18279,22118,21427,381375
LIMANTITLA,229,481534,2132038,211,09,012,Tlalpan,09012,63590,61603,38707,163901,47631,42768,38880,36288,117936,34273,41472,40176,727226
#37,230,483038,2133008,1,09,012,Tlalpan,09012,41472,83030,70157,194659,56570,91238,88128,67738,247104,71811,88474,74995,1175376
PADIERNA #1,231,476778,2134389,255,09,012,Tlalpan,09012,RH,RH,RH,0,0,RH,RH,RH,0,0,RH,RH,0
PADIERNA #2,232,476720,2134847,256,09,012,Tlalpan,09012,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
PADIERNA #3,233,477226,2134706,257,09,012,Tlalpan,09012,58061,88387,70157,216605,62948,88387,44064,50803,183254,53256,58061,53568,1027551
PADIERNA #4,234,476884,2135388,258,09,008,La Magdalena Contreras,09008,PA,PA,PA,0,0,PA,5184,19354,24538,7131,30413,21427,108046
PADIERNA #5,235,477814,2133790,259,09,012,Tlalpan,09012,99533,104458,79834,283824,82482,88387,77760,74995,241142,70078,80179,74995,1357667
PADIERNA PICACHO,236,476943,2133837,260,09,012,Tlalpan,09012,13824,21427,9677,44928,13057,11405,10368,9677,31450,9140,11059,10714,196725
PEDREGAL #2,237,478376,2140393,274,09,010,?ülvaro Obreg??n,09010,33178,61603,36288,131069,38090,42768,38880,36288,117936,34273,30413,8035,608821
PEDREGAL AGUILAS,238,482211,2130826,275,09,012,Tlalpan,09012,35942,37498,16934,90374,26264,19958,20736,19354,60048,17451,47002,50890,442451
PENA POBRE,239,479896,2133084,280,09,012,Tlalpan,09012,55296,56246,31450,142992,41555,37066,31104,29030,97200,28247,38707,37498,626391
PENA POBRE #2,240,480997,2133774,281,09,012,Tlalpan,09012,RH,RH,RH,0,0,RH,RH,RH,0,0,RH,RH,0
PERIFERICO #5,241,483200,2133848,307,09,012,Tlalpan,09012,129946,171418,130637,432000,125544,156816,176256,186278,519350,150928,171418,182131,2532722
PERIFERICO #6,242,484192,2132586,308,09,012,Tlalpan,09012,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
PERIFERICO #7,243,483602,2132446,309,09,012,Tlalpan,09012,94003,93744,84672,272419,79168,99792,88128,84672,272592,79218,91238,91066,1430712
R-1,244,483430,2130663,333,09,012,Tlalpan,09012,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0
R-2,245,483177,2130602,338,09,012,Tlalpan,09012,71885,72317,58061,202262,58779,71280,44064,62899,178243,51799,60826,56246,988661
R-3,246,483552,2130452,346,09,012,Tlalpan,09012,74650,77674,RH,152323,44267,RH,7776,RH,7776,2260,RH,16070,382796
R-4,247,483815,2130811,347,09,012,Tlalpan,09012,171418,166061,137894,475373,138148,168221,142560,149990,460771,133905,168653,166061,2479055
R-5,248,484339,2131154,348,09,012,Tlalpan,09012,88474,88387,77414,254275,73895,88387,82944,79834,251165,72991,85709,85709,1329184
R-6,249,485210,2132061,349,09,013,Xochimilco,09013,33178,34819,31450,99446,28900,37066,23328,29030,89424,25988,33178,26784,492590
R-7,250,484935,2131404,350,09,012,Tlalpan,09012,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
R-8,251,484693,2131234,351,09,012,Tlalpan,09012,16589,18749,9677,45014,13082,11405,10368,9677,31450,9140,11059,10714,196923
R-9,252,484129,2130853,352,09,012,Tlalpan,09012,82944,83030,72576,238550,69325,85536,77760,74995,238291,69250,82944,80352,1255554
R-10,253,483792,2130536,334,09,012,Tlalpan,09012,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0
REINO AVENTURA ,254,477889,2133563,358,09,012,Tlalpan,09012,PA,PA,PA,0,0,PA,PA,PA,0,0,PA,PA,0
SAN FERNANDO TLALPAN ,255,481638,2133393,381,09,012,Tlalpan,09012,163123,168739,152410,484272,140734,171072,145152,149990,466214,135487,163123,163382,2503699
SAN JERONIMO #3 (ANZALDO) ,256,476723,2136300,385,09,008,La Magdalena Contreras,09008,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
SAN PEDRO MARTIR #1,257,483072,2129627,420,09,012,Tlalpan,09012,88474,96422,79834,264730,76933,91238,88128,84672,264038,76732,91238,80352,1382791
SAN RAMON,258,477947,2137711,423,09,008,La Magdalena Contreras,09008,27648,45533,43546,116726,33922,45619,28512,31450,105581,30683,38707,21427,569354
SUR #27 BIS ,259,483401,2133291,458,09,012,Tlalpan,09012,74650,66960,43546,185155,53808,51322,46656,38707,136685,39722,41472,40176,818858
TLALCOLIGIA ,260,481921,2130816,499,09,012,Tlalpan,09012,5530,5357,4838,15725,4570,2851,5184,7258,15293,4444,5530,5357,81936
TOPILEJO ,261,486705,2123955,500,09,013,Xochimilco,09013,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
TORIELLO ,262,483222,2133095,501,09,012,Tlalpan,09012,FE,FE,RH,0,0,RH,RH,RH,0,0,RH,RH,0
VIADUCTO TLALPAN #1,263,483438,2132139,557,09,012,Tlalpan,09012,127181,141955,118541,387677,112663,142560,82944,79834,305338,88734,96768,93744,1777938
VIADUCTO TLALPAN #2,264,483032,2131706,558,09,012,Tlalpan,09012,35942,40176,21773,97891,28448,25661,23328,21773,70762,20564,55296,101779,543393
VILLA OLIMPICA #2,265,480443,2134197,564,09,012,Tlalpan,09012,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0
VILLA OLIMPICA #3,266,479950,2133465,565,09,012,Tlalpan,09012,PA,PA,PA,0,0,PA,PA,PA,0,0,PA,PA,0
MIRADOR #1,267,494077,2127688,225,09,013,Xochimilco,09013,55296,66960,55642,177898,51699,68429,62208,65318,195955,56947,74650,72317,1003318
MIRADOR #2,268,494205,2127862,226,09,013,Xochimilco,09013,52531,29462,24192,106186,30859,28512,20736,16934,66182,19233,19354,18749,432930
MIRADOR #3,269,494228,2127235,227,09,013,Xochimilco,09013,44237,53568,45965,143770,41781,54173,51840,55642,161654,46978,60826,58925,819357
MONTE SUR #1 ,270,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71885,69638,65318,206842,60110,76982,62208,62899,202090,58729,69120,66960,1072781
MONTE SUR #2 ,271,487741,2125198,232,09,013,Xochimilco,09013,13824,13392,9677,36893,10721,11405,10368,9677,31450,9140,11059,10714,178319
NATIVITAS #1 ,272,489958,2127340,237,09,013,Xochimilco,09013,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0
NATIVITAS #2 ,273,490330,2126433,238,09,013,Xochimilco,09013,174182,190166,166925,531274,154393,202435,178848,162086,543370,157909,182477,176774,2820840
NATIVITAS #3 ,274,490458,2126770,239,09,013,Xochimilco,09013,135475,115171,108864,359510,104477,122602,124416,130637,377654,109750,127181,120528,1936265
NORIA #1,275,486562,2130782,240,09,013,Xochimilco,09013,107827,104458,94349,306634,89111,111197,101088,94349,306634,89111,107827,104458,1617041
NORIA #2,276,487133,2129237,241,09,013,Xochimilco,09013,85709,112493,96768,294970,85721,111197,103680,94349,309226,89864,110592,104458,1599025
NORIA #3,277,487635,2129008,242,09,013,Xochimilco,09013,33178,34819,29030,97027,28197,34214,31104,29030,94349,27419,33178,32141,503686
NORIA #4,278,487975,2128974,243,09,013,Xochimilco,09013,193536,227664,195955,617155,179351,233798,215136,188698,637632,185302,235008,227664,3336899
NORIA #6,279,488178,2127972,245,09,013,Xochimilco,09013,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
NORIA #7,280,489421,2127836,246,09,013,Xochimilco,09013,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
SAN LUIS TLAXIALTEMALCO,281,496162,2128409,414,09,013,Xochimilco,09013,176947,171418,142733,491098,142718,165370,152928,152410,470707,136792,174182,149990,2527292
PANTEON SAN LUCAS XOCHIMANCA,282,488329,2126886,269,09,013,Xochimilco,09013,141005,139277,120960,401242,116605,131155,64800,RH,195955,56947,RH,RH,1367946
PERIFERICO #09 ,283,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24883,37498,33869,96250,27971,39917,36288,31450,107654,31285,35942,34819,537826
PERIFERICO #8,284,483602,2132446,310,09,012,Tlalpan,09012,99533,109814,87091,296438,86148,102643,93312,104026,299981,87177,88474,88387,1543024
PISTA OLIMPICA #1,285,489138,2132973,314,09,013,Xochimilco,09013,8294,10714,7258,26266,7633,8554,7776,7258,23587,6855,8294,8035,130523
RECLUSORIO SUR #1,286,487085,2126212,354,09,013,Xochimilco,09013,121651,139277,118541,379469,110277,122602,103680,94349,320630,93178,77414,91066,1772133
RECLUSORIO SUR #2,287,486650,2126527,355,09,013,Xochimilco,09013,71885,69638,62899,204422,59407,65578,64800,96768,227146,66011,110592,107136,1206282
RESIDENCIAL SUR,288,486065,2131760,359,09,013,Xochimilco,09013,127181,136598,111283,375062,108997,131155,119232,111283,361670,105105,127181,123206,1937955
S-1,289,488882,2127217,366,09,013,Xochimilco,09013,165888,160704,142733,469325,136390,168221,152928,142733,463882,134809,165888,158026,2461525
S-2,290,487111,2126517,371,09,013,Xochimilco,09013,163123,195523,166925,525571,152736,173923,150336,152410,476669,138525,182477,179453,2657671
S-3,291,489958,2126538,372,09,013,Xochimilco,09013,80179,85709,72576,238464,69300,88387,75168,72576,236131,68622,82944,80352,1250408
S-4,292,486666,2126212,373,09,013,Xochimilco,09013,71885,72317,65318,209520,60889,65578,38880,43546,148003,43011,55296,66960,941202
S-5,293,489992,2126177,374,09,013,Xochimilco,09013,149299,141955,125798,417053,121200,148262,134784,125798,408845,118814,141005,139277,2172091
S-6,294,490912,2126096,375,09,013,Xochimilco,09013,149299,163382,140314,452995,131645,168221,150336,157248,475805,138274,179712,176774,2484005
S-7,295,492891,2126808,376,09,013,Xochimilco,09013,71885,80352,62899,215136,62521,74131,67392,62899,204422,59407,71885,69638,1102568
S-8,296,488261,2127516,377,09,013,Xochimilco,09013,74650,80352,72576,227578,66136,85536,67392,70157,223085,64831,94003,91066,1217361
S-9,297,486026,2130803,378,09,013,Xochimilco,09013,152064,152669,118541,423274,123008,136858,124416,74995,336269,97723,85709,83030,1908555
S-10,298,485222,2130406,367,09,013,Xochimilco,09013,52531,50890,45965,149386,43413,54173,49248,45965,149386,43413,52531,50890,787789
S-11,299,496467,2128172,368,09,013,Xochimilco,09013,107827,131242,116122,355190,103222,136858,127008,87091,350957,101992,102298,96422,1816228
SANTIAGO TEPALCATLALPAN ,300,487217,2127605,451,09,013,Xochimilco,09013,127181,123206,108864,359251,104402,131155,103680,96768,331603,96367,116122,112493,1811092
SAN GREGORIO ATL. #1,301,493006,2128467,383,09,013,Xochimilco,09013,47002,64282,36288,147571,42886,59875,49248,58061,167184,48585,69120,66960,857061
SAN GREGORIO ATL. #2,302,492890,2127862,384,09,013,Xochimilco,09013,52531,56246,33869,142646,41454,11405,33696,33869,78970,22949,47002,45533,600169
SAN LUCAS XOCHIMANCA ,303,487902,2127087,393,09,013,Xochimilco,09013,138240,136598,120960,395798,115023,134006,127008,116122,377136,109599,127181,120528,2018200
SAN LUIS #1,304,497615,2129035,394,09,013,Xochimilco,09013,8294,8035,7258,23587,6855,8554,7776,7258,23587,6855,8294,8035,124388
SAN LUIS #3,305,497036,2129582,407,09,013,Xochimilco,09013,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0
SAN LUIS #5,306,497315,2129600,409,09,013,Xochimilco,09013,80179,101779,72576,254534,73970,65578,82944,72576,221098,64253,82944,85709,1258140
SAN LUIS #6,307,497439,2129597,410,09,013,Xochimilco,09013,DC,DC,DC,0,0,DC,DC,DC,0,0,DC,DC,0
SAN LUIS #7,308,496647,2129289,411,09,013,Xochimilco,09013,146534,152669,53222,352426,102418,108346,134784,104026,347155,100887,116122,125885,1844473
SAN LUIS #8,309,496435,2128999,412,09,013,Xochimilco,09013,91238,96422,79834,267494,77737,94090,85536,79834,259459,75401,91238,88387,1386671
SAN LUIS #9,310,496048,2129025,413,09,013,Xochimilco,09013,154829,163382,108864,427075,124112,128304,145152,137894,411350,119543,157594,133920,2212020
SAN LUIS #10,311,495713,2128981,395,09,013,Xochimilco,09013,38707,42854,36288,117850,34248,25661,25920,24192,75773,22020,24883,21427,489823
SAN LUIS #11,312,495413,2128559,396,09,013,Xochimilco,09013,251597,262483,232243,746323,216889,276566,248832,232243,757642,220178,268186,259805,3972987
SAN LUIS #12,313,495360,2128726,397,09,013,Xochimilco,09013,110592,160704,157248,428544,124539,91238,85536,111283,288058,83712,121651,147312,1910417
SAN LUIS #13,314,494961,2128603,398,09,013,Xochimilco,09013,96768,144634,108864,350266,101791,111197,108864,123379,343440,99807,129946,136598,1855553
SAN LUIS #14,315,493710,2128823,399,09,013,Xochimilco,09013,96768,93744,84672,275184,79971,99792,90720,89510,280022,81377,102298,99101,1473159
SAN LUIS #16,316,492704,2128176,401,09,013,Xochimilco,09013,149299,155347,128218,432864,125795,153965,139968,125798,419731,121978,152064,141955,2246983
SAN LUIS #17,317,492917,2128568,402,09,013,Xochimilco,09013,49766,77674,50803,178243,51799,62726,57024,50803,170554,49565,60826,61603,921386
SAN LUIS #18,318,492829,2128339,403,09,013,Xochimilco,09013,246067,241056,215309,702432,204134,248054,228096,215309,691459,200945,248832,238378,3680071
SAN LUIS #19,319,491807,2127960,404,09,013,Xochimilco,09013,152064,160704,125798,438566,127452,156816,150336,142733,449885,130741,163123,147312,2345531
SAN LUIS #20,320,490706,2127793,406,09,013,Xochimilco,09013,132710,131242,116122,380074,110453,119750,72576,91930,284256,82608,88474,117850,1728043
SAN LORENZO ATEMOAYA #1,321,489528,2127154,390,09,013,Xochimilco,09013,96768,96422,87091,280282,81453,185328,163296,84672,433296,125920,102298,104458,1841283
SAN LORENZO ATEMOAYA #2,322,489441,2127276,391,09,013,Xochimilco,09013,DC,DC,DC,0,0,DC,DC,DC,0,0,DC,DC,0
SANTA CRUZ ACALPIXCA #1,323,492715,2127316,440,09,013,Xochimilco,09013,38707,42854,33869,115430,33545,39917,36288,33869,110074,31988,38707,37498,592746
SANTA CRUZ ACALPIXCA #2,324,492727,2127595,441,09,013,Xochimilco,09013,152064,182131,147571,481766,140006,148262,145152,149990,443405,128858,124416,152669,2396291
SANTA CRUZ XOCHITEPEC,325,486440,2128685,444,09,013,Xochimilco,09013,152064,182131,152410,486605,141412,179626,163296,171763,514685,149573,190771,190166,2674502
TEPEPAN #1,326,484817,2130992,485,09,012,Tlalpan,09012,77414,77674,79834,234922,68271,76982,64800,60480,202262,58779,71885,56246,1129549
TEPEPAN #2,327,484526,2130414,486,09,012,Tlalpan,09012,71885,69638,60480,202003,58704,71280,64800,55642,191722,55716,63590,61603,1027063
TEPEPAN #3,328,485444,2131291,487,09,013,Xochimilco,09013,113357,141955,145152,400464,116379,148262,152928,133056,434246,126196,149299,112493,2173788
CERRILLOS #1,329,497979,2128002,105,09,013,Xochimilco,09013,82944,80352,72576,235872,68547,88387,80352,45965,214704,62395,85709,88387,1206190
CERRILLOS #2,330,498560,2127688,106,09,011,Tl?íhuac,09011,27648,29462,38707,95818,27846,45619,41472,43546,130637,37964,49766,53568,622053
CERRILLOS #3,331,498585,2127177,107,09,011,Tl?íhuac,09011,196301,74995,62899,334195,97120,74131,59616,79834,213581,62069,91238,83030,1429010
ESCUDO NACIONAL #1,332,499305,2127979,153,09,011,Tl?íhuac,09011,99533,109814,87091,296438,86148,102643,93312,87091,283046,82256,99533,96422,1523329
ESCUDO NACIONAL #2,333,499028,2127046,154,09,011,Tl?íhuac,09011,41472,42854,33869,118195,34349,39917,36288,14515,90720,26364,16589,32141,527273
R-11,334,499184,2127397,335,09,011,Tl?íhuac,09011,69120,74995,60480,204595,59457,71280,64800,60480,196560,57122,69120,66960,1054969
R-18,335,500141,2123254,336,09,009,Milpa Alta,09009,99533,109814,87091,296438,86148,102643,93312,87091,283046,82256,99533,96422,1523329
R-19,336,498387,2122183,337,09,009,Milpa Alta,09009,52531,50890,45965,149386,43413,51322,44064,41126,136512,39672,49766,48211,752858
R-21,337,498543,2122563,339,09,009,Milpa Alta,09009,41472,45533,36288,123293,35830,42768,38880,31450,113098,32867,5530,FE,547007
R-22,338,500132,2122660,340,09,009,Milpa Alta,09009,105062,112493,91930,309485,89939,108346,98496,91930,298771,86826,105062,101779,1600119
R-24,339,499460,2123283,341,09,009,Milpa Alta,09009,55296,61603,48384,165283,48033,79834,72576,50803,203213,59056,58061,56246,958388
R-25,340,498704,2122951,342,09,009,Milpa Alta,09009,63590,61603,55642,180835,52553,62726,59616,58061,180403,52427,66355,64282,958094
R-26,341,500353,2122335,343,09,009,Milpa Alta,09009,82944,88387,72576,243907,70882,85536,77760,72576,235872,68547,82944,80352,1262283
R-28,342,500633,2123093,345,09,009,Milpa Alta,09009,143770,141955,120960,406685,118187,148262,132192,123379,403834,117358,141005,136598,2134185
S-12,343,498012,2128664,369,09,013,Xochimilco,09013,127181,139277,111283,377741,109775,131155,119232,111283,361670,105105,127181,123206,1944090
S-13,344,498497,2128189,370,09,013,Xochimilco,09013,77414,48211,79834,205459,59708,85536,41472,41126,168134,48862,44237,21427,921421
SAN JUAN TEPENAHUAC,345,500689,2121549,387,09,009,Milpa Alta,09009,168653,166061,147571,482285,140157,176774,160704,137894,475373,138148,160358,155347,2509326
SAN PEDRO ATOCPAN ,346,494862,2124268,419,09,009,Milpa Alta,09009,91238,91066,77414,259718,75477,96941,75168,77414,249523,72514,91238,83030,1340743
